Region,Date,Monitored CAP in MW,Generation / Today's Program,Generation / Today's Actual,Generation / FY YTD Program,Generation / FY YTD Actual,Coal Stock in Days,CAP under outage,Outage Date,Expected Date / Sync Date,Remarks
WESTERN,2023-11-29,106374.48999999999,1483.0800000000006,1391.47,350985.7999999997,370796.31999999983,,28372.89,,,
SOUTHERN,2023-11-29,66206.945,791.6300000000001,701.89,202250.95,190279.60999999984,,20895.104,,,
EASTERN,2023-11-29,43157.46,710.3800000000008,698.3000000000003,184062.03999999998,179885.4099999999,,5260.2,,,
NORTH EASTERN,2023-11-29,4477.955,72.64000000000001,51.94,21022.069999999992,15334.95,,425.46500000000003,,,
BHUTAN IMP.,2023-11-29,0,22.759999999999998,3.89,6056.04,4913.49,,0,,,
NORTHERN,2023-11-30,73176.23000000001,912.0300000000011,730.8400000000001,269151,257091.49000000002,,23321.859999999982,,,
WESTERN,2023-11-30,106374.48999999999,1483.0800000000006,1369.6900000000007,352470,372166.0099999999,,29952.89,,,
SOUTHERN,2023-11-30,66206.945,801.3499999999999,690.5900000000003,203054,190970.19999999998,,22174.404,,,
EASTERN,2023-11-30,43157.46,710.3800000000008,687.2700000000002,184770,180572.68000000005,,5632.7,,,
NORTH EASTERN,2023-11-30,4477.955,72.64000000000001,49.59,21094,15384.539999999997,,511.46500000000003,,,
BHUTAN IMP.,2023-11-30,0,22.759999999999998,4.53,6079,4918.02,,0,,,
NORTHERN,2023-12-01,73176.23000000001,872.4000000000001,761.9399999999997,270023.4000000001,257658.41000000012,,23344.359999999982,,,
WESTERN,2023-12-01,106374.48999999999,1415.8699999999994,1327.03,353885.87,373467.95999999985,,33128.89,,,
SOUTHERN,2023-12-01,66206.945,746.1400000000001,702.3399999999997,203800.14000000007,191782.6400000001,,22781.503999999997,,,
EASTERN,2023-12-01,43157.46,665.4399999999997,681.7700000000002,185435.43999999994,181211.74,,5607,,,
NORTH EASTERN,2023-12-01,4477.955,61.53999999999999,50.010000000000005,21155.540000000005,15430.210000000003,,513.665,,,
BHUTAN IMP.,2023-12-01,0,20.1,3.16,6099.1,4799.22,,0,,,
NORTHERN,2023-12-02,73176.23000000001,884.8700000000001,750.0199999999998,270908.27000000025,258408.43000000008,,22719.259999999984,,,
WESTERN,2023-12-02,106374.48999999999,1418.7399999999996,1308.7199999999998,355304.60999999975,374776.67999999976,,34503.89,,,
SOUTHERN,2023-12-02,66206.945,748.74,663.1100000000001,204548.88000000006,192445.75,,23289.904,,,
EASTERN,2023-12-02,43157.46,665.4399999999997,672.85,186100.87999999992,181884.59000000005,,5667,,,
NORTH EASTERN,2023-12-02,4477.955,61.53999999999999,49.73,21217.07999999999,15479.939999999999,,495.43000000000006,,,
BHUTAN IMP.,2023-12-02,0,20.1,4.24,6119.200000000001,4803.46,,0,,,
NORTHERN,2023-12-03,73176.23000000001,883.6600000000002,717.8799999999998,271791.93,259126.3100000004,,23216.259999999984,,,
WESTERN,2023-12-03,106374.48999999999,1418.7399999999996,1285.3200000000008,356723.35000000003,376061.99999999994,,32816.39,,,
SOUTHERN,2023-12-03,66206.945,745.9800000000001,617.6400000000001,205294.86,193063.39,,24641.503999999997,,,
EASTERN,2023-12-03,43157.46,670.3699999999997,636.3800000000001,186771.24999999994,182520.97000000003,,7007,,,
NORTH EASTERN,2023-12-03,4477.955,61.53999999999999,48.459999999999994,21278.619999999995,15528.399999999998,,495.43000000000006,,,
BHUTAN IMP.,2023-12-03,0,20.1,3.32,6139.300000000001,4806.780000000001,,0,,,
NORTHERN,2023-12-04,73176.23000000001,883.6600000000002,728.5900000000003,272675.5899999997,259854.9000000002,,23374.259999999984,,,
WESTERN,2023-12-04,106374.48999999999,1417.0699999999995,1299.9700000000007,358140.41999999987,377361.9699999996,,32618.89,,,
SOUTHERN,2023-12-04,66206.945,745.9800000000001,624.1900000000003,206040.84,193687.58000000013,,23852.904,,,
EASTERN,2023-12-04,43157.46,670.3699999999997,644.2900000000002,187441.62000000002,183165.25999999986,,6919.5,,,
NORTH EASTERN,2023-12-04,4477.955,61.74999999999999,48.85000000000001,21340.369999999988,15577.249999999996,,545.4300000000001,,,
BHUTAN IMP.,2023-12-04,0,20.1,3.42,6159.400000000001,4810.200000000001,,0,,,
NORTHERN,2023-12-05,73176.23000000001,878.0500000000001,740.3699999999997,273553.6400000003,260595.2700000002,,22511.759999999984,,,
WESTERN,2023-12-05,106374.48999999999,1414.0699999999995,1312.7300000000014,359554.4900000003,378674.6999999998,,33638.89,,,
SOUTHERN,2023-12-05,66206.945,738.1800000000001,625.71,206779.02000000002,194313.29000000007,,24667.404,,,
EASTERN,2023-12-05,43157.46,670.3699999999997,656.4699999999999,188111.98999999996,183821.72999999998,,6769.5,,,
NORTH EASTERN,2023-12-05,4477.955,61.74999999999999,48.57000000000001,21402.120000000006,15625.819999999989,,545.4300000000001,,,
BHUTAN IMP.,2023-12-05,0,20.1,2.26,6179.5,4812.46,,0,,,
NORTHERN,2023-12-06,73176.23000000001,907.2100000000002,767.36,274460.85000000003,261362.63000000015,,23005.759999999984,,,
WESTERN,2023-12-06,106374.48999999999,1414.0699999999995,1335.0899999999997,360968.55999999994,380009.78999999963,,33158.89,,,
SOUTHERN,2023-12-06,66206.945,748.1800000000001,688.67,207527.20000000004,195001.96000000014,,22151.203999999998,,,
EASTERN,2023-12-06,43157.46,675.2899999999997,659.3399999999999,188787.27999999997,184481.06999999998,,7082.7,,,
NORTH EASTERN,2023-12-06,4477.955,61.74999999999999,48.75999999999999,21463.870000000003,15674.58,,355.395,,,
BHUTAN IMP.,2023-12-06,0,20.1,2.57,6199.6,4815.030000000001,,0,,,
NORTHERN,2023-12-07,73176.23000000001,907.2100000000002,778.0299999999994,275368.0599999999,262140.66000000006,,22357.75999999998,,,
WESTERN,2023-12-07,106374.48999999999,1414.0699999999995,1384.6000000000013,362382.63,381394.3899999996,,31563.89,,,
SOUTHERN,2023-12-07,66206.945,748.1800000000001,713.9100000000002,208275.37999999995,195715.87000000008,,23673.404,,,
EASTERN,2023-12-07,43157.46,675.2899999999997,669.5399999999997,189462.57,185150.61000000013,,7312.7,,,
NORTH EASTERN,2023-12-07,4477.955,61.74999999999999,48.480000000000004,21525.620000000006,15723.060000000001,,320.1650000000001,,,
BHUTAN IMP.,2023-12-07,0,20.1,3.56,6219.700000000001,4818.59,,0,,,
NORTHERN,2023-12-08,73176.23000000001,907.2100000000002,801.7699999999995,276275.26999999996,262942.4300000003,,20669.75999999998,,,
WESTERN,2023-12-08,106374.48999999999,1416.7399999999993,1412.060000000001,363799.37000000005,382806.44999999995,,30552.89,,,
SOUTHERN,2023-12-08,66206.945,748.1800000000001,729.1999999999999,209023.5599999999,196445.07000000007,,21315.104,,,
EASTERN,2023-12-08,43157.46,675.2899999999997,683.8500000000003,190137.86000000004,185834.45999999996,,6982.7,,,
NORTH EASTERN,2023-12-08,4477.955,61.74999999999999,49.08999999999999,21587.369999999995,15772.15,,446.63,,,
BHUTAN IMP.,2023-12-08,0,20.1,2.82,6239.800000000001,4821.41,,0,,,
NORTHERN,2023-12-09,73176.23000000001,907.2100000000002,794.2000000000002,277182.4799999998,263736.63000000006,,21718.759999999984,,,
WESTERN,2023-12-09,106374.48999999999,1416.7399999999993,1421.340000000001,365216.10999999987,384227.79000000004,,29834.89,,,
SOUTHERN,2023-12-09,66206.945,748.1800000000001,706.7800000000002,209771.74000000002,197151.8500000001,,23113.604,,,
EASTERN,2023-12-09,43157.46,670.9299999999997,685.25,190808.79000000004,186519.71000000017,,6359.5,,,
NORTH EASTERN,2023-12-09,4477.955,62.309999999999995,49.309999999999995,21649.679999999997,15821.460000000001,,351.63,,,
BHUTAN IMP.,2023-12-09,0,20.1,3.63,6259.9000000000015,4825.04,,0,,,
NORTHERN,2023-12-10,73176.23000000001,907.2100000000002,775.5500000000001,278089.6899999997,264512.18000000005,,22033.759999999984,,,
WESTERN,2023-12-10,106374.48999999999,1413.9599999999996,1374.63,366630.06999999995,385602.42000000004,,31395.39,,,
SOUTHERN,2023-12-10,66206.945,744.4000000000001,665.9799999999999,210516.14000000007,197817.83000000007,,23682.603999999996,,,
EASTERN,2023-12-10,43157.46,670.9299999999997,640.2699999999998,191479.7199999999,187159.9800000001,,8227,,,
NORTH EASTERN,2023-12-10,4477.955,62.309999999999995,47.27,21711.98999999999,15868.729999999992,,327.63,,,
BHUTAN IMP.,2023-12-10,0,20.1,2.96,6280.000000000002,4828,,0,,,
NORTHERN,2023-12-11,73176.23000000001,908.7300000000002,807.43,278998.42000000033,265319.60999999987,,21445.559999999983,,,
WESTERN,2023-12-11,106374.48999999999,1422.3399999999997,1461.4699999999993,368052.41000000015,387063.8899999998,,28929.39,,,
SOUTHERN,2023-12-11,66206.945,744.4000000000001,723.5300000000002,211260.53999999983,198541.35999999996,,21493.604,,,
EASTERN,2023-12-11,43157.46,670.9299999999997,651.57,192150.65000000008,187811.54999999993,,8449.5,,,
NORTH EASTERN,2023-12-11,4477.955,62.309999999999995,48.9,21774.300000000003,15917.630000000003,,327.63,,,
BHUTAN IMP.,2023-12-11,0,20.1,3.09,6300.100000000002,4831.09,,0,,,
NORTHERN,2023-12-12,73206.23000000001,915.6500000000001,820.6900000000002,279914.0700000003,266140.29999999993,,22315.759999999984,,,
WESTERN,2023-12-12,106374.48999999999,1422.3399999999997,1514.6399999999996,369474.7500000003,388578.53000000026,,28081.89,,,
SOUTHERN,2023-12-12,66206.945,744.4000000000001,734.6499999999997,212004.93999999986,199276.0100000001,,20987.104,,,
EASTERN,2023-12-12,43157.46,670.9299999999997,669.3899999999999,192821.58000000005,188480.93999999994,,8602.7,,,
NORTH EASTERN,2023-12-12,4477.955,62.309999999999995,46.94000000000001,21836.61,15964.569999999998,,611.13,,,
BHUTAN IMP.,2023-12-12,0,20.1,1.88,6320.200000000002,4832.97,,0,,,
NORTHERN,2023-12-13,73206.23000000001,915.6500000000001,824.7199999999999,280829.7199999998,266965.01999999996,,21389.759999999984,,,
WESTERN,2023-12-13,106374.48999999999,1422.3399999999997,1524.1299999999997,370897.08999999985,390101.1200000002,,26431.89,,,
SOUTHERN,2023-12-13,66206.945,744.4000000000001,748.0000000000006,212749.3400000001,200024.01000000013,,21049.304,,,
EASTERN,2023-12-13,43157.46,670.9299999999997,658.9200000000001,193492.5100000001,189139.86000000002,,8892.7,,,
NORTH EASTERN,2023-12-13,4477.955,62.309999999999995,44.25000000000001,21898.920000000002,16008.82,,837.13,,,
BHUTAN IMP.,2023-12-13,0,20.1,1.21,6340.300000000001,4834.18,,0,,,
NORTHERN,2023-12-14,73206.23000000001,929.4300000000001,860.7199999999999,281759.14999999956,267825.7400000001,,19170.75999999998,,,
WESTERN,2023-12-14,106374.48999999999,1422.3399999999997,1517.1000000000001,372319.43,391618.22000000015,,27138.89,,,
SOUTHERN,2023-12-14,66206.945,744.4000000000001,733.2099999999999,213493.74000000014,200757.22000000012,,21094.304,,,
EASTERN,2023-12-14,43157.46,670.9299999999997,655.86,194163.44,189795.71999999997,,8872.7,,,
NORTH EASTERN,2023-12-14,4477.955,62.309999999999995,43.499999999999986,21961.230000000007,16052.320000000003,,651.13,,,
BHUTAN IMP.,2023-12-14,0,20.1,1.88,6360.4000000000015,4836.06,,0,,,
NORTHERN,2023-12-15,73206.23000000001,937.5900000000003,897.8399999999996,282696.74000000034,268723.5800000001,,18152.259999999987,,,
WESTERN,2023-12-15,106374.48999999999,1417.0399999999995,1536.3500000000004,373736.47000000003,393154.5699999997,,27148.89,,,
SOUTHERN,2023-12-15,66206.945,756.6400000000001,761.9599999999996,214250.3799999999,201519.18000000005,,19333.104,,,
EASTERN,2023-12-15,43157.46,670.9299999999997,664.7000000000002,194834.37000000014,190460.42000000007,,8925,,,
NORTH EASTERN,2023-12-15,4477.955,62.379999999999995,45.26999999999999,22023.610000000008,16097.589999999995,,686.095,,,
BHUTAN IMP.,2023-12-15,0,20.1,0.84,6380.500000000002,4836.9,,0,,,
NORTHERN,2023-12-16,73206.23000000001,938.6500000000002,894.9499999999999,283635.3900000002,269618.5300000001,,17556.50999999999,,,
WESTERN,2023-12-16,106374.48999999999,1416.8599999999997,1541.1699999999994,375153.33,394695.7400000001,,26602.89,,,
SOUTHERN,2023-12-16,66206.945,740.0900000000001,769.02,214990.47,202288.2,,19801.104,,,
EASTERN,2023-12-16,43157.46,676.1099999999997,642.24,195510.48,191102.65999999992,,9540.2,,,
NORTH EASTERN,2023-12-16,4477.955,62.379999999999995,50.44,22085.990000000005,16148.029999999995,,362.63,,,
BHUTAN IMP.,2023-12-16,0,20.1,2.18,6400.600000000002,4839.08,,0,,,
NORTHERN,2023-12-17,73206.23000000001,938.6500000000002,843.58,284574.03999999975,270462.11000000004,,19194.509999999984,,,
WESTERN,2023-12-17,106374.48999999999,1436.4599999999996,1455.39,376589.79000000015,396151.13,,26601.89,,,
SOUTHERN,2023-12-17,66206.945,740.0900000000001,686.4499999999998,215730.56000000008,202974.65000000002,,21193.403999999995,,,
EASTERN,2023-12-17,43157.46,665.0499999999996,609.3600000000001,196175.52999999997,191712.0199999999,,8967.7,,,
NORTH EASTERN,2023-12-17,4477.955,62.379999999999995,46.900000000000006,22148.370000000006,16194.929999999995,,352.665,,,
BHUTAN IMP.,2023-12-17,0,20.1,2.18,6420.700000000003,4841.26,,0,,,
NORTHERN,2023-12-18,73206.23000000001,942.0800000000002,851.6000000000005,285516.12000000017,271313.7100000001,,19802.509999999984,,,
WESTERN,2023-12-18,106374.48999999999,1436.4599999999996,1441.1499999999992,378026.25,397592.28,,27960.89,,,
